City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,sinabang,2.4803,96.3801,28.23,77,76,1.42,ID,1699846967
83,chui,-33.6971,-53.4616,15.34,93,75,2.75,UY,1699847218
84,lashio,22.9333,97.75,26.17,58,23,0.59,MM,1699847218
85,puerto francisco de orellana,-0.4667,-76.9667,21.8,98,76,0.43,EC,1699847218
86,hawaiian paradise park,19.5933,-154.9731,23.73,92,100,0.45,US,1699846963
87,laguna,38.421,-121.4238,15.99,63,0,2.57,US,1699847219
88,st. john's,47.5649,-52.7093,-1.23,81,100,5.14,CA,1699846940
89,palmerston north,-40.35,175.6167,21.14,70,45,2.68,NZ,1699847220
90,mount gambier,-37.8333,140.7667,18.18,44,33,4.7,AU,1699847220
91,georgetown,5.4112,100.3354,32.75,72,20,3.09,MY,1699847155
92,haiku-pauwela,20.9219,-156.3051,25.01,74,40,9.77,US,1699847220
93,alice springs,-23.7,133.8833,35.75,21,86,4.63,AU,1699846955
94,ust-nera,64.5667,143.2,-24.04,99,99,1.39,RU,1699847222
95,quito,-0.2299,-78.5249,11.53,91,74,0.81,EC,1699846801
96,isafjordur,66.0755,-23.124,1.28,84,100,2.4,IS,1699846936
97,karaton,-6.3424,106.1045,31.66,59,86,1.03,ID,1699847224
98,nar'yan-mar,67.6713,53.087,-11.61,94,42,2.24,RU,1699846974
99,touros,-5.1989,-35.4608,26.44,72,43,5.8,BR,1699846970
100,villa gesell,-37.2639,-56.973,12.25,58,84,5.17,AR,1699847225
101,hasaki,35.7333,140.8333,14.22,61,99,7.9,JP,1699847225
102,rio gallegos,-51.6226,-69.2181,10.03,50,0,2.57,AR,1699847226
103,tougue,11.4667,-11.6,19.65,45,2,0.48,GN,1699847227
104,weining,26.85,104.2333,5.44,84,100,0.79,CN,1699847227
105,yeniseysk,58.4497,92.1703,-0.59,98,100,2.24,RU,1699847228
106,olinda,-8.0089,-34.8553,25.85,73,40,3.6,BR,1699847228
107,hanceville,34.0607,-86.7675,14.17,65,92,1.42,US,1699847229
108,gaalkacyo,6.7697,47.4308,25.87,77,19,5.0,SO,1699847229
109,manay,7.215,126.5397,30.54,69,60,4.47,PH,1699847229
110,amahai,-3.3333,128.9167,28.98,72,95,2.77,ID,1699847230
111,cidreira,-30.1811,-50.2056,20.68,98,100,7.13,BR,1699847231
112,atafu village,-8.5421,-172.5159,29.48,68,44,2.12,TK,1699847231
113,kilju,40.9642,129.3278,6.34,23,1,1.48,KP,1699847232
114,qaqortoq,60.7167,-46.0333,-8.89,91,26,1.05,GL,1699847232
115,blackmans bay,-43.0167,147.3167,21.07,35,2,2.35,AU,1699847219
116,saint-pierre,-21.3393,55.4781,23.99,53,0,3.09,RE,1699847233
117,utrik,11.2278,169.8474,27.88,83,99,9.15,MH,1699847233
118,pizhou,34.3114,117.9503,6.7,31,89,0.55,CN,1699847234
119,azhikkal,11.9,75.3667,27.64,60,92,1.84,IN,1699847235
120,waddan,29.1614,16.139,17.17,80,0,0.66,LY,1699847235
121,lorengau,-2.0226,147.2712,29.08,67,62,1.49,PG,1699847236
122,gulf shores,30.246,-87.7008,18.89,79,100,2.57,US,1699847237
123,invercargill,-46.4,168.35,11.68,89,100,4.02,NZ,1699847187
124,bikenibeu village,1.3673,173.1241,29.98,79,75,1.54,KI,1699846963
125,mwanza,-2.5167,32.9,21.62,77,59,1.34,TZ,1699847240
126,bontang,0.1333,117.5,29.68,68,81,2.36,ID,1699847240
127,port saint john's,-31.6229,29.5448,16.56,70,0,3.06,ZA,1699847241
128,wanning,18.8003,110.3967,25.56,83,53,8.01,CN,1699847241
129,westport,41.1415,-73.3579,1.99,70,0,2.57,US,1699847241
130,bilibino,68.0546,166.4372,-16.7,98,100,2.44,RU,1699847242
131,anaconda,46.1285,-112.9423,1.55,64,99,2.41,US,1699847003
132,chaohu,31.6,117.8667,8.36,33,50,3.02,CN,1699847243
133,aussillon,43.5029,2.3679,13.2,93,0,3.6,FR,1699847243
134,la passe,45.5549,-0.8967,15.55,81,92,6.23,FR,1699847244
135,plouzane,48.3833,-4.6167,16.03,91,100,12.86,FR,1699847244
136,banfora,10.6333,-4.7667,23.52,24,36,2.05,BF,1699847244
137,colotlan,22.1,-103.2667,17.14,85,99,3.72,MX,1699847245
138,monrovia,6.3005,-10.7969,23.87,86,100,2.8,LR,1699847245
139,new plymouth,-39.0667,174.0833,14.06,62,100,5.29,NZ,1699847245
140,margaret river,-33.95,115.0667,24.64,49,55,3.03,AU,1699846969
141,kochenevo,55.0218,82.202,3.66,97,100,6.94,RU,1699847246
142,thompson,55.7435,-97.8558,-1.91,100,100,1.03,CA,1699847246
143,lamar,33.6668,-95.5836,12.95,69,0,2.06,US,1699847247
144,asau,46.4333,26.4,1.51,88,32,2.68,RO,1699847247
145,nikol'sk,53.7189,46.0712,7.54,79,82,8.97,RU,1699847248
146,isla vista,34.4133,-119.861,20.25,32,0,0.0,US,1699847248
147,west island,-12.1568,96.8225,27.99,78,75,4.63,CC,1699847217
148,naracoorte,-36.9579,140.7383,25.15,24,56,5.8,AU,1699847249
149,codrington,-38.2667,141.9667,16.52,53,5,6.96,AU,1699847250
150,revda,56.801,59.9303,0.78,85,100,1.5,RU,1699847250
151,suva,-18.1416,178.4415,23.71,94,75,4.63,FJ,1699847251
152,piton saint-leu,-21.2196,55.3151,22.23,53,0,3.09,RE,1699847251
153,maracas,-13.4411,-40.4308,18.13,66,2,1.7,BR,1699847106
154,dhidhdhoo,6.8833,73.1,28.13,74,94,2.77,MV,1699847252
155,klaksvik,62.2266,-6.589,6.51,82,100,12.81,FO,1699847252
156,yeppoon,-23.1333,150.7333,31.88,51,0,4.46,AU,1699847253
157,qarazhal,48.0078,70.7903,2.84,85,93,2.82,KZ,1699847253
158,san borja,-14.8167,-66.85,28.43,53,17,1.48,BO,1699847254
159,montevideo,-34.8335,-56.1674,18.23,72,75,6.69,UY,1699847254
160,la'ie,21.6477,-157.9253,27.98,79,45,5.81,US,1699847254
161,ta`u,-14.2336,-169.5144,28.07,77,26,3.19,AS,1699847255
162,uturoa,-16.7333,-151.4333,27.54,76,67,1.92,PF,1699847255
163,nova sintra,14.8667,-24.7167,23.24,67,53,3.03,CV,1699847256
164,korla,41.7597,86.1469,6.36,55,79,0.38,CN,1699847256
165,yen vinh,18.6667,105.6667,25.45,85,62,6.85,VN,1699847256
166,glace bay,46.1969,-59.957,2.76,78,100,6.26,CA,1699847257
167,vorgashor,67.5833,63.95,-10.54,97,95,2.7,RU,1699847258
168,wailua homesteads,22.0669,-159.378,27.24,81,75,7.72,US,1699847258
169,zhezkent,50.9311,81.3615,2.23,87,93,5.33,KZ,1699847258
170,kapuskasing,49.4169,-82.4331,1.05,100,100,8.23,CA,1699847259
171,tromso,69.6496,18.957,-2.99,68,16,3.09,NO,1699847260
172,tura,25.5198,90.2201,25.91,56,0,0.6,IN,1699847261
173,bucovice,49.149,17.0019,1.66,92,100,1.58,CZ,1699847262
174,peace river,56.2501,-117.286,-1.83,93,75,3.09,CA,1699847262
175,ozery,54.86,38.5506,5.89,96,100,8.05,RU,1699847262
176,ebon,4.582,168.6964,28.36,80,99,4.21,MH,1699847263
177,mata-utu,-13.2816,-176.1745,28.87,72,94,5.32,WF,1699847263
178,olonkinbyen,70.9221,-8.7187,-3.2,67,100,2.57,SJ,1699847264
179,taunsa,30.7048,70.6505,22.44,32,8,0.46,PK,1699847264
180,bridgewater,44.3835,-64.5155,0.82,88,13,2.57,CA,1699847264
181,qacha's nek,-30.1154,28.6894,9.29,74,86,1.0,LS,1699847265
182,ismailia,30.6043,32.2723,21.73,87,9,2.82,EG,1699847265
183,veshenskaya,49.6303,41.7334,10.62,89,72,10.28,RU,1699847265
184,arno,60.1167,18.6333,3.21,97,100,4.97,SE,1699847265
185,shingu,33.7333,135.9833,12.73,54,18,3.55,JP,1699847266
186,sao jose da coroa grande,-8.8978,-35.1478,23.31,80,7,1.65,BR,1699847266
187,bambanglipuro,-7.95,110.2833,29.28,70,57,5.64,ID,1699847266
188,kirensk,57.7853,108.1119,-7.12,70,80,2.24,RU,1699847267
189,port alfred,-33.5906,26.891,14.54,86,83,0.89,ZA,1699847254
190,rongelap,11.1635,166.8941,27.97,84,100,8.88,MH,1699847267
191,trevelin,-43.0858,-71.4639,6.71,90,44,2.78,AR,1699847268
192,palikir - national government center,6.9248,158.1611,31.41,74,100,2.57,FM,1699847268
193,east london,-33.0153,27.9116,14.52,77,0,3.6,ZA,1699847268
194,san antonio de pale,-1.4014,5.6325,26.21,83,47,4.3,GQ,1699847268
195,puerto madero,14.7208,-92.4215,27.16,80,10,1.37,MX,1699847269
196,tieli,46.95,128.05,-6.22,81,71,3.18,CN,1699847269
197,college,64.8569,-147.8028,-11.42,82,20,0.0,US,1699847269
198,chanika,-5.4167,38.0167,21.0,92,96,0.81,TZ,1699847270
199,calasparra,38.23,-1.6999,15.35,80,30,2.24,ES,1699847270
200,happy valley-goose bay,53.3168,-60.3315,-2.83,68,75,5.66,CA,1699847270
201,parras de la fuente,25.4167,-102.1833,11.99,86,100,0.53,MX,1699847271
202,talnakh,69.4865,88.3972,-4.33,97,100,2.87,RU,1699847198
203,preobrazheniye,42.9019,133.9064,1.18,40,75,4.07,RU,1699847271
204,chonchi,-42.6128,-73.8092,7.29,89,98,1.82,CL,1699847271
205,pudasjarvi,65.3833,26.9167,-4.23,87,100,4.05,FI,1699847272
